fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
1	100	103	1	1.0	1.0	WD	882	10730	112	55430	0.13993336506425513	0.21282666495713515	0.07595590768170858	0.8873239436619719	0.8378174123337364	0.8385501980522382	0.9327139986229347	7648	3824	3824	67154	994	66160	203	5.10381293296814	0.15496492385864258
2	100	103	1	1.0	1.0	WD	879	10887	94	56546	0.13800141298375068	0.18872568846795915	0.07470678225395207	0.9033915724563206	0.8385508578885709	0.8394731456305002	0.932639194270697	7690	3845	3845	68406	973	67433	203	6.7102131843566895	0.16189360618591309
3	100	103	1	1.0	1.0	WD	868	12025	105	60446	0.12519832684263668	0.16946426538709614	0.0673233537578531	0.8920863309352518	0.8340715596583461	0.8348401503186101	0.9307183340430477	7690	3845	3845	73444	973	72471	203	5.8534464836120605	0.16041278839111328
4	100	103	1	1.0	1.0	WD	816	11528	108	59283	0.12300271329514623	0.19082739921716782	0.0661049902786779	0.8831168831168831	0.83720043496067	0.8377918728654073	0.9289748865662212	7788	3894	3894	71735	924	70811	203	6.467303514480591	0.15653133392333984
5	100	103	1	1.0	1.0	WD	860	11575	94	59051	0.12846366420195682	0.1625753175138145	0.06915963007639726	0.9014675052410901	0.8361085152776598	0.8369796032411289	0.9358469817180303	7728	3864	3864	71580	954	70626	203	6.6896750926971436	0.1552109718322754
1	100	103	2	1.0	1.0	WD	907	9579	87	56581	0.15801393728222995	0.2617853906186517	0.08649628075529277	0.9124748490945674	0.855214631197098	0.8560621854245466	0.9517629051211743	7648	3824	3824	67154	994	66160	203	6.848100423812866	0.24680447578430176
2	100	103	2	1.0	1.0	WD	892	9511	81	57922	0.15682137834036566	0.2397251733059488	0.08574449677977507	0.9167523124357657	0.8589562973618258	0.8597783820132737	0.9510588935377964	7690	3845	3845	68406	973	67433	203	7.650810241699219	0.2522003650665283
3	100	103	2	1.0	1.0	WD	892	10488	81	61983	0.14441835991257182	0.21433604912531967	0.07838312829525483	0.9167523124357657	0.8552800430517035	0.8560944393006917	0.9490442666771497	7690	3845	3845	73444	973	72471	203	7.34823203086853	0.30814576148986816
4	100	103	2	1.0	1.0	WD	836	10215	88	60596	0.13962421711899792	0.24576504784812517	0.07564926251018007	0.9047619047619048	0.8557427518323424	0.8563741548755838	0.9486037339442884	7788	3894	3894	71735	924	70811	203	6.619745254516602	0.25701427459716797
5	100	103	2	1.0	1.0	WD	891	10129	63	60497	0.14882244863871721	0.20947540902194406	0.0808529945553539	0.9339622641509434	0.8565825616628437	0.8576138586197262	0.9544430190365275	7728	3864	3864	71580	954	70626	203	6.418846845626831	0.3734729290008545
1	100	103	3	1.0	1.0	WD	917	8767	77	57393	0.1717550103015546	0.30327015936743396	0.09469227591904172	0.9225352112676056	0.867487908101572	0.8683027072102928	0.9605332265661684	7648	3824	3824	67154	994	66160	203	8.797787427902222	0.45250868797302246
2	100	103	3	1.0	1.0	WD	901	8809	72	58624	0.1686792099597491	0.28524164892438925	0.09279093717816683	0.9260020554984584	0.869366630581466	0.8701722071163348	0.960907853433416	7690	3845	3845	68406	973	67433	203	7.61851167678833	0.3636784553527832
3	100	103	3	1.0	1.0	WD	906	9644	67	62827	0.1572507159593856	0.25002915477146853	0.08587677725118484	0.9311408016443987	0.8669260807771384	0.8677768095419639	0.9580576462785562	7690	3845	3845	73444	973	72471	203	9.05641222000122	0.44422483444213867
4	100	103	3	1.0	1.0	WD	844	9415	80	61396	0.1509433962264151	0.2928335929502506	0.0822692270201774	0.9134199134199135	0.867040431571366	0.867637833693455	0.9589701804223559	7788	3894	3894	71735	924	70811	203	10.140563249588013	0.3282184600830078
5	100	103	3	1.0	1.0	WD	905	9377	49	61249	0.16108935564257745	0.2567027213302141	0.08801789535109901	0.9486373165618449	0.8672301985104636	0.8683151718357083	0.9640973080450177	7728	3864	3864	71580	954	70626	203	8.330129384994507	0.3370492458343506
1	100	103	4	1.0	1.0	WD	922	8066	72	58094	0.18473251853336006	0.35195372905902356	0.10258121940364931	0.9275653923541247	0.8780834340991536	0.8788158560919677	0.9666577305428703	7648	3824	3824	67154	994	66160	203	9.865549802780151	0.3089160919189453
