fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
1	100	103	1	1.0	1.0	WD	882	10730	112	55430	0.13993336506425513	0.21282666495713515	0.07595590768170858	0.8873239436619719	0.8378174123337364	0.8385501980522382	0.9327139986229347	7648	3824	3824	67154	994	66160	203	32.38400340080261	1.325620412826538
1	100	103	2	1.0	1.0	WD	907	9579	87	56581	0.15801393728222995	0.2617853906186517	0.08649628075529277	0.9124748490945674	0.855214631197098	0.8560621854245466	0.9517629051211743	7648	3824	3824	67154	994	66160	203	41.468045473098755	1.4746825695037842
1	100	103	3	1.0	1.0	WD	917	8767	77	57393	0.1717550103015546	0.30327015936743396	0.09469227591904172	0.9225352112676056	0.867487908101572	0.8683027072102928	0.9605332265661684	7648	3824	3824	67154	994	66160	203	51.09980773925781	1.707812786102295
1	100	103	4	1.0	1.0	WD	922	8066	72	58094	0.18473251853336006	0.35195372905902356	0.10258121940364931	0.9275653923541247	0.8780834340991536	0.8788158560919677	0.9666577305428703	7648	3824	3824	67154	994	66160	203	54.611260175704956	1.635848045349121
1	100	103	5	1.0	1.0	WD	929	7558	65	58602	0.19597088914671448	0.40439076956135506	0.10946152939790267	0.9346076458752515	0.8857617896009673	0.886484796140215	0.9711090454455876	7648	3824	3824	67154	994	66160	203	72.96099829673767	2.05403470993042
1	100	103	6	1.0	1.0	WD	927	7079	67	59081	0.206	0.4570027394063087	0.11578815888083938	0.9325955734406438	0.8930018137847642	0.8935878726509218	0.9744013050491582	7648	3824	3824	67154	994	66160	203	89.73411154747009	2.265542507171631
1	100	103	7	1.0	1.0	WD	929	6727	65	59433	0.21479768786127168	0.5047445394636012	0.12134273772204807	0.9346076458752515	0.8983222490931076	0.898859338237484	0.9767644865565825	7648	3824	3824	67154	994	66160	203	101.31522941589355	2.5842971801757812
1	100	103	8	1.0	1.0	WD	933	6427	61	59733	0.22336605219056743	0.5489594286066886	0.1267663043478261	0.9386317907444668	0.9028567110036275	0.9033862465378086	0.9785427498485472	7648	3824	3824	67154	994	66160	203	110.7150092124939	2.5274031162261963
1	100	103	9	1.0	1.0	WD	932	6113	62	60047	0.2318696355268068	0.5906597832619896	0.13229240596167494	0.937625754527163	0.9076027811366385	0.908047175149656	0.9799312045185259	7648	3824	3824	67154	994	66160	203	119.57873845100403	2.692744255065918
1	100	103	10	1.0	1.0	WD	934	5861	60	60299	0.23982539478752085	0.6245352463170201	0.1374540103016924	0.9396378269617707	0.9114117291414752	0.911829526163743	0.9810075081687221	7648	3824	3824	67154	994	66160	203	124.35492372512817	2.7446703910827637
1	100	103	11	1.0	1.0	WD	934	5652	60	60508	0.24643799472295513	0.6551147479522181	0.14181597327664744	0.9396378269617707	0.9145707376058041	0.9149417756202162	0.9818576817616703	7648	3824	3824	67154	994	66160	203	131.93241381645203	2.6901822090148926
1	100	103	12	1.0	1.0	WD	934	5497	60	60663	0.25158249158249163	0.68285371611537	0.1452340227025346	0.9396378269617707	0.9169135429262394	0.9172499032075528	0.9825382007887713	7648	3824	3824	67154	994	66160	203	141.74509811401367	2.9132139682769775
1	100	103	13	1.0	1.0	WD	932	5362	62	60798	0.2557628979143798	0.7078483137793392	0.148077534159517	0.937625754527163	0.9189540507859734	0.9192304255889449	0.9830873390281227	7648	3824	3824	67154	994	66160	203	144.8807337284088	2.7953953742980957
1	100	103	14	1.0	1.0	WD	931	5223	63	60937	0.2604924454392837	0.7293432311587625	0.15128371790705233	0.9366197183098591	0.9210550181378476	0.9212854036989606	0.9835256399339204	7648	3824	3824	67154	994	66160	203	129.05920028686523	2.8281288146972656
1	100	103	15	1.0	1.0	WD	931	5101	63	61059	0.2650156561343582	0.7483218415029106	0.15434350132625996	0.9366197183098591	0.9228990326481258	0.9231021234773803	0.9838782544115966	7648	3824	3824	67154	994	66160	203	131.5030746459961	2.687490701675415
1	100	103	16	1.0	1.0	WD	931	4967	63	61193	0.2701683110853163	0.7633797490865216	0.15785011868429977	0.9366197183098591	0.9249244256348247	0.9250975370044972	0.9841570432267123	7648	3824	3824	67154	994	66160	203	137.6669533252716	2.707629442214966
1	100	103	17	1.0	1.0	WD	930	4850	64	61310	0.27457927369353413	0.778538129292599	0.16089965397923875	0.9356136820925554	0.9266928657799275	0.9268249099085684	0.9844083241893926	7648	3824	3824	67154	994	66160	203	139.21470522880554	3.1192026138305664
