fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
1	40	287	327	1.25	1.25	WD	780	28	214	66132	0.8657047724750278	0.877367885738516	0.9653465346534653	0.7847082494969819	0.9995767835550181	0.99639634273461	0.9853205691221087	7648	3824	3824	67154	994	66160	327	50.30669856071472	4.339067697525024
2	40	287	327	1.25	1.25	WD	802	36	171	67397	0.8856985091109885	0.8973488065815548	0.9570405727923628	0.8242548818088387	0.9994661367579671	0.9969739496535391	0.9848571096621521	7690	3845	3845	68406	973	67433	327	54.08373713493347	4.655954122543335
3	40	287	327	1.25	1.25	WD	800	48	173	72423	0.8786381109280614	0.8832909072659996	0.9433962264150944	0.8221993833504625	0.9993376661009231	0.9969909046348238	0.9835095252971656	7690	3845	3845	73444	973	72471	327	48.550238609313965	4.388913631439209
4	40	287	327	1.25	1.25	WD	760	25	164	70786	0.8894090111176126	0.8899702670941386	0.9681528662420382	0.8225108225108225	0.9996469475081555	0.9973653028507702	0.9868908400210035	7788	3894	3894	71735	924	70811	327	48.531232595443726	4.326516628265381
5	40	287	327	1.25	1.25	WD	760	50	194	70576	0.8616780045351474	0.8817035182491901	0.9382716049382716	0.7966457023060797	0.9992920454223657	0.9965912265996089	0.9881223180469169	7728	3864	3864	71580	954	70626	327	48.483832597732544	4.205925703048706
1	40	287	327	1.3	1.3	WD	781	29	213	66131	0.8658536585365855	0.8734203727674995	0.9641975308641976	0.7857142857142857	0.999561668681983	0.99639634273461	0.9853905020205879	7648	3824	3824	67154	994	66160	327	48.32710814476013	4.072555780410767
2	40	287	327	1.3	1.3	WD	805	39	168	67394	0.8860759493670886	0.8967727507456698	0.9537914691943128	0.8273381294964028	0.9994216481544644	0.9969739496535391	0.9849534635338013	7690	3845	3845	68406	973	67433	327	49.058053970336914	4.142085552215576
3	40	287	327	1.3	1.3	WD	800	49	173	72422	0.8781558726673986	0.883763461038185	0.9422850412249706	0.8221993833504625	0.9993238674780257	0.9969772888186917	0.983547588507707	7690	3845	3845	73444	973	72471	327	49.65485739707947	4.279243230819702
4	40	287	327	1.3	1.3	WD	762	26	162	70785	0.8901869158878505	0.8889647958827559	0.9670050761421319	0.8246753246753247	0.9996328254084818	0.997379243047327	0.9869344748636101	7788	3894	3894	71735	924	70811	327	51.250919342041016	4.282054901123047
5	40	287	327	1.3	1.3	WD	764	50	190	70576	0.8642533936651583	0.8820550695729865	0.9385749385749386	0.80083857442348	0.9992920454223657	0.9966471081307627	0.988187696242189	7728	3864	3864	71580	954	70626	327	52.44129705429077	4.304563283920288
1	40	287	327	1.35	1.35	WD	782	30	212	66130	0.8660022148394242	0.8763923584738591	0.9630541871921182	0.7867203219315896	0.999546553808948	0.99639634273461	0.985454291650751	7648	3824	3824	67154	994	66160	327	52.53886294364929	4.469289302825928
2	40	287	327	1.35	1.35	WD	806	41	167	67392	0.8857142857142857	0.8973368931948466	0.9515938606847698	0.828365878725591	0.9993919890854626	0.9969593310528316	0.9850370606527504	7690	3845	3845	68406	973	67433	327	56.470205783843994	4.304255485534668
3	40	287	327	1.35	1.35	WD	800	52	173	72419	0.8767123287671232	0.884504065699466	0.9389671361502347	0.8221993833504625	0.9992824716093334	0.9969364413702957	0.9835788871312781	7690	3845	3845	73444	973	72471	327	58.087830543518066	4.438397169113159
4	40	287	327	1.35	1.35	WD	764	27	160	70784	0.8909620991253645	0.8887151948714326	0.965865992414665	0.8268398268398268	0.999618703308808	0.9973931832438837	0.9869633915438946	7788	3894	3894	71735	924	70811	327	56.0016713142395	4.428079843521118
5	40	287	327	1.35	1.35	WD	765	52	189	70574	0.8639186900056466	0.8823071236998303	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9882428632687102	7728	3864	3864	71580	954	70626	327	54.82959198951721	4.754986047744751
1	40	287	327	1.4	1.4	WD	782	30	212	66130	0.8660022148394242	0.8772808984254732	0.9630541871921182	0.7867203219315896	0.999546553808948	0.99639634273461	0.9854994690026496	7648	3824	3824	67154	994	66160	327	51.8183228969574	4.2220377922058105
2	40	287	327	1.4	1.4	WD	807	41	166	67392	0.886326194398682	0.896753348747691	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851003567028864	7690	3845	3845	68406	973	67433	327	51.35137391090393	4.212107419967651
3	40	287	327	1.4	1.4	WD	801	52	172	72419	0.8773274917853231	0.8841694775410417	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.983594954798023	7690	3845	3845	73444	973	72471	327	48.56475830078125	4.198542356491089
4	40	287	327	1.4	1.4	WD	764	28	160	70783	0.8904428904428905	0.8898906126420524	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.986983122745928	7788	3894	3894	71735	924	70811	327	48.85447812080383	4.218038082122803
5	40	287	327	1.4	1.4	WD	765	52	189	70574	0.8639186900056466	0.8824975551816019	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9882853702269985	7728	3864	3864	71580	954	70626	327	51.25796675682068	4.367838621139526
1	40	287	327	1.45	1.45	WD	783	30	211	66130	0.8666297731045931	0.8761546511385674	0.9630996309963099	0.7877263581488934	0.999546553808948	0.9964112338803347	0.9855239964575846	7648	3824	3824	67154	994	66160	327	48.22784996032715	4.220498323440552
2	40	287	327	1.45	1.45	WD	807	41	166	67392	0.886326194398682	0.8975771789908306	0.9516509433962265	0.829393627954779	0.9993919890854626	0.9969739496535391	0.9851576477822171	7690	3845	3845	68406	973	67433	327	48.834571838378906	4.198970079421997
3	40	287	327	1.45	1.45	WD	801	52	172	72419	0.8773274917853231	0.883593311639363	0.9390386869871044	0.8232271325796505	0.9992824716093334	0.9969500571864277	0.9836062858357363	7690	3845	3845	73444	973	72471	327	47.212260007858276	4.2097742557525635
4	40	287	327	1.45	1.45	WD	764	28	160	70783	0.8904428904428905	0.8881712900202856	0.9646464646464646	0.8268398268398268	0.9996045812091342	0.997379243047327	0.9869922623732059	7788	3894	3894	71735	924	70811	327	49.13026309013367	4.183927059173584
5	40	287	327	1.45	1.45	WD	765	52	189	70574	0.8639186900056466	0.8826434319584363	0.9363525091799265	0.8018867924528302	0.9992637272392604	0.9966331377479742	0.9883222966628297	7728	3864	3864	71580	954	70626	327	47.58556771278381	4.136535882949829
1	40	287	327	1.5	1.5	WD	783	30	211	66130	0.8666297731045931	0.8781943009246398	0.9630996309963099	0.7877263581488934	0.999546553808948	0.9964112338803347	0.9855435211024308	7648	3824	3824	67154	994	66160	327	46.52770280838013	4.1577863693237305
