fold	up_size	down_size	degree	C1	C2	kernel	TP	FP	FN	TN	F1-score	AUPR	Precision	Recall	Specificity	Accuracy	AUROC	n_train	n_train_pos	n_train_neg	n_test	n_test_pos	n_test_neg	sample_size	train_time	pred_time
1	40	255	295	1.0	1.0	WD	776	24	218	66136	0.8651059085841695	0.8772962394859909	0.97	0.7806841046277666	0.9996372430471584	0.99639634273461	0.9851894088229498	7648	3824	3824	67154	994	66160	295	48.14911770820618	4.618755102157593
1	40	255	295	1.05	1.05	WD	786	28	208	66132	0.8694690265486725	0.8782966200688163	0.9656019656019657	0.7907444668008048	0.9995767835550181	0.9964856896089586	0.9852874730243614	7648	3824	3824	67154	994	66160	295	44.23745894432068	3.556140661239624
1	40	255	295	1.1	1.1	WD	794	31	200	66129	0.8730071467839472	0.8780160473371981	0.9624242424242424	0.7987927565392354	0.9995314389359129	0.9965601453375823	0.9853786336519723	7648	3824	3824	67154	994	66160	295	45.84718680381775	3.5592751502990723
1	40	255	295	1.15	1.15	WD	798	34	196	66126	0.8740416210295728	0.8791893138217602	0.9591346153846154	0.8028169014084507	0.9994860943168078	0.996575036483307	0.9854718775166111	7648	3824	3824	67154	994	66160	295	43.69745063781738	3.706670045852661
1	40	255	295	1.2	1.2	WD	799	38	195	66122	0.8727471327143638	0.8781558087504212	0.954599761051374	0.8038229376257545	0.9994256348246675	0.9965303630461327	0.9855689685270024	7648	3824	3824	67154	994	66160	295	44.514084815979004	3.490084648132324
1	40	255	295	1.25	1.25	WD	803	41	191	66119	0.8737758433079434	0.8788602023969719	0.9514218009478673	0.8078470824949698	0.9993802902055623	0.9965452541918576	0.9856641435675723	7648	3824	3824	67154	994	66160	295	43.417330741882324	3.4632222652435303
1	40	255	295	1.3	1.3	WD	804	43	190	66117	0.8734383487235198	0.8801134118059954	0.9492325855962219	0.8088531187122736	0.9993500604594922	0.9965303630461327	0.9857410712765102	7648	3824	3824	67154	994	66160	295	43.7620313167572	3.430272340774536
1	40	255	295	1.35	1.35	WD	806	47	188	66113	0.8727666486193827	0.881976663821023	0.9449003516998827	0.8108651911468813	0.9992896009673519	0.9965005807546833	0.9858005727837399	7648	3824	3824	67154	994	66160	295	45.04058241844177	3.546386241912842
1	40	255	295	1.4	1.4	WD	806	47	188	66113	0.8727666486193827	0.87890378879611	0.9449003516998827	0.8108651911468813	0.9992896009673519	0.9965005807546833	0.9858334027745675	7648	3824	3824	67154	994	66160	295	46.15024399757385	3.531589984893799
1	40	255	295	1.45	1.45	WD	806	47	188	66113	0.8727666486193827	0.8807687942446714	0.9449003516998827	0.8108651911468813	0.9992896009673519	0.9965005807546833	0.9858661415287372	7648	3824	3824	67154	994	66160	295	48.117135524749756	3.804232597351074
1	40	255	295	1.5	1.5	WD	806	47	188	66113	0.8727666486193827	0.8816951358263057	0.9449003516998827	0.8108651911468813	0.9992896009673519	0.9965005807546833	0.9858890571360448	7648	3824	3824	67154	994	66160	295	54.160722732543945	3.500643014907837
