transcirc_id	circ_strand	circ_chrom	tis_coordinate_hg38	tis_position_in_circrna
TC-hsa-GNB1_0028	-	chr1	1825453	47
TC-hsa-GNB1_0038	-	chr1	1825453	47
TC-hsa-GNB1_0041	-	chr1	1825453	47
TC-hsa-GNB1_0076	-	chr1	1825453	47
TC-hsa-GNB1_0065	-	chr1	1825453	47
TC-hsa-GNB1_0039	-	chr1	1825453	47
TC-hsa-GNB1_0048	-	chr1	1825453	30
TC-hsa-GNB1_0056	-	chr1	1825453	47
TC-hsa-GNB1_0085	-	chr1	1825453	47
TC-hsa-GNB1_0087	-	chr1	1825453	47
TC-hsa-TARDBP_0004	+	chr1	11013728	13
TC-hsa-EIF4G3_0141	-	chr1	21050939	132
TC-hsa-EIF4G3_0180	-	chr1	21050939	132
TC-hsa-EIF4G3_0194	-	chr1	21050939	132
TC-hsa-EIF4G3_0148	-	chr1	21050939	56
TC-hsa-HP1BP3_0023	-	chr1	20779893	215
TC-hsa-HP1BP3_0023	-	chr1	20780440	101
TC-hsa-FBLIM1_0001	+	chr1	15764538	46
TC-hsa-EIF4G3_0125	-	chr1	21050939	132
TC-hsa-EIF4G3_0220	-	chr1	21050939	132
TC-hsa-EIF4G3_0223	-	chr1	21050939	56
TC-hsa-EIF4G3_0227	-	chr1	21050939	132
TC-hsa-EIF4G3_0230	-	chr1	21050939	56
TC-hsa-HP1BP3_0085	-	chr1	20779893	19
TC-hsa-EIF4G3_0242	-	chr1	21050939	132
TC-hsa-GNB1_0030	-	chr1	1825453	47
TC-hsa-GNB1_0053	-	chr1	1825453	47
TC-hsa-GNB1_0063	-	chr1	1825453	47
TC-hsa-GNB1_0064	-	chr1	1825453	47
TC-hsa-GNB1_0069	-	chr1	1825453	47
TC-hsa-GNB1_0073	-	chr1	1825453	47
TC-hsa-GNB1_0077	-	chr1	1825453	47
TC-hsa-GNB1_0080	-	chr1	1825453	47
TC-hsa-ENO1_0009	-	chr1	8865456	135
TC-hsa-ENO1_0009	-	chr1	8866348	39
TC-hsa-EIF4G3_0055	-	chr1	21050939	56
TC-hsa-KIF1B_0005	+	chr1	10232329	80
TC-hsa-KIF1B_0009	+	chr1	10232329	80
TC-hsa-GNB1_0074	-	chr1	1825453	47
TC-hsa-CDC42_0005	+	chr1	22078479	51
TC-hsa-CDC42_0005	+	chr1	22086462	252
TC-hsa-CDC42_0007	+	chr1	22078479	51
TC-hsa-CDC42_0007	+	chr1	22086462	252
TC-hsa-CDC42_0008	+	chr1	22078479	51
TC-hsa-CDC42_0008	+	chr1	22086462	252
TC-hsa-CTNNBIP1_0005	-	chr1	9877971	53
TC-hsa-EIF4G3_0182	-	chr1	21050939	132
TC-hsa-EIF4G3_0211	-	chr1	21050939	132
TC-hsa-EIF4G3_0250	-	chr1	21050939	132
TC-hsa-ENO1_0016	-	chr1	8874872	46
TC-hsa-ENO1_0016	-	chr1	8874908	10
TC-hsa-EIF4G3_0115	-	chr1	21050939	56
TC-hsa-ENO1_0011	-	chr1	8866348	288
TC-hsa-CDC42_0010	+	chr1	22078479	51
TC-hsa-CDC42_0010	+	chr1	22086462	252
TC-hsa-EIF4G3_0168	-	chr1	21050939	132
TC-hsa-KIF1B_0004	+	chr1	10232329	80
TC-hsa-GNB1_0081	-	chr1	1825453	47
TC-hsa-GNB1_0004	-	chr1	1825453	30
TC-hsa-RER1_0002	+	chr1	2395825	42
TC-hsa-SAMD11_0002	+	chr1	925942	21
TC-hsa-CTNNBIP1_0006	-	chr1	9877971	53
TC-hsa-EIF4G3_0205	-	chr1	21050939	132
TC-hsa-EIF4G3_0210	-	chr1	21050939	132
TC-hsa-EIF4G3_0213	-	chr1	21050939	132
TC-hsa-EIF4G3_0240	-	chr1	21050939	132
TC-hsa-EIF4G3_0243	-	chr1	21050939	132
TC-hsa-EIF4G3_0246	-	chr1	21050939	132
TC-hsa-CASZ1_0008	-	chr1	10760735	123
TC-hsa-RER1_0006	+	chr1	2395825	42
TC-hsa-EIF4G3_0226	-	chr1	21050939	132
TC-hsa-RER1_0001	+	chr1	2395825	42
TC-hsa-KDM1A_0040	+	chr1	23059138	427
TC-hsa-KDM1A_0014	+	chr1	23059138	727
TC-hsa-KDM1A_0036	+	chr1	23059138	553
TC-hsa-PARK7_0002	+	chr1	7962786	24
TC-hsa-ENO1_0015	-	chr1	8874872	46
TC-hsa-ENO1_0015	-	chr1	8874908	10
TC-hsa-CDC42_0002	+	chr1	22078479	51
TC-hsa-CDC42_0009	+	chr1	22078479	51
TC-hsa-CDC42_0009	+	chr1	22086462	252
TC-hsa-CDC42_0011	+	chr1	22086462	97
TC-hsa-HP1BP3_0045	-	chr1	20779893	19
TC-hsa-GNB1_0083	-	chr1	1825453	47
TC-hsa-FBLIM1_0002	+	chr1	15764538	46
TC-hsa-SAMD11_0001	+	chr1	925942	21
